index,userId,genre,rating_mean,total_ratings,last_time
0,1,Action,4.322222222222222,90,2000-07-30 19:09:13
1,1,Adventure,4.3882352941176475,85,2000-07-30 19:09:36
2,1,Animation,4.689655172413793,29,2000-07-30 18:48:23
3,1,Children,4.5476190476190474,42,2000-07-30 18:48:23
4,1,Comedy,4.27710843373494,83,2000-08-08 07:27:42
5,1,Crime,4.355555555555555,45,2000-07-30 19:04:33
6,1,Drama,4.529411764705882,68,2000-07-30 19:09:13
7,1,Fantasy,4.297872340425532,47,2000-07-30 19:01:04
8,1,Film-Noir,5.0,1,2000-07-30 18:49:11
9,1,Horror,3.4705882352941178,17,2000-07-30 19:03:13
10,1,Musical,4.681818181818182,22,2000-07-30 19:08:06
11,1,Mystery,4.166666666666667,18,2000-07-30 19:03:35
12,1,Romance,4.3076923076923075,26,2000-08-08 07:27:42
13,1,Sci-Fi,4.225,40,2000-07-30 19:09:36
14,1,Thriller,4.1454545454545455,55,2000-07-30 19:08:06
15,1,War,4.5,22,2000-07-30 19:08:32
16,1,Western,4.285714285714286,7,2000-07-30 19:09:36
17,2,Action,3.9545454545454546,11,2015-10-24 19:34:32
18,2,Adventure,4.166666666666667,3,2015-10-24 19:34:32
19,2,Comedy,4.0,7,2015-10-24 19:32:46
20,2,Crime,3.8,10,2015-10-24 19:35:40
21,2,Documentary,4.333333333333333,3,2015-10-24 19:32:52
22,2,Drama,3.8823529411764706,17,2015-10-24 19:35:40
23,2,Horror,3.0,1,2015-10-24 19:29:34
24,2,IMAX,3.75,4,2015-10-24 19:32:25
25,2,Mystery,4.0,2,2015-10-24 19:28:46
26,2,Romance,4.5,1,2015-10-24 19:33:48
27,2,Sci-Fi,3.875,4,2015-10-24 19:34:32
28,2,Thriller,3.7,10,2015-10-24 19:35:40
29,2,War,4.5,1,2015-10-24 19:32:34
30,2,Western,3.5,1,2015-10-24 19:27:54
31,3,Action,3.5714285714285716,14,2011-05-27 02:43:48
32,3,Adventure,2.727272727272727,11,2011-05-27 02:44:44
33,3,Animation,0.5,4,2011-05-27 02:44:21
34,3,Children,0.5,5,2011-05-27 02:44:44
35,3,Comedy,1.0,9,2011-05-27 02:44:53
36,3,Crime,0.5,2,2011-05-27 02:44:21
37,3,Drama,0.75,16,2011-05-27 02:44:35
38,3,Fantasy,3.375,4,2011-05-27 02:43:09
39,3,Horror,4.6875,8,2011-05-27 02:40:54
40,3,Musical,0.5,1,2011-05-27 02:32:47
41,3,Mystery,5.0,1,2011-05-27 02:35:08
42,3,Romance,0.5,5,2011-05-27 02:44:53
43,3,Sci-Fi,4.2,15,2011-05-27 02:42:44
44,3,Thriller,4.142857142857143,7,2011-05-27 02:42:44
45,3,War,0.5,5,2011-05-27 02:44:35
46,4,Action,3.32,25,2001-04-10 20:41:42
47,4,Adventure,3.6551724137931036,29,2001-12-05 17:48:52
48,4,Animation,4.0,6,2001-04-09 20:36:49
49,4,Children,3.8,10,2001-12-05 17:48:52
50,4,Comedy,3.5096153846153846,104,2001-12-05 17:49:02
51,4,Crime,3.814814814814815,27,2001-12-05 16:24:05
52,4,Documentary,4.0,2,1999-12-13 09:50:01
53,4,Drama,3.4833333333333334,120,2001-12-05 17:49:02
54,4,Fantasy,3.6842105263157894,19,2001-12-05 17:48:52
55,4,Film-Noir,4.0,4,2000-07-25 15:33:00
56,4,Horror,4.25,4,2001-12-05 16:24:25
57,4,IMAX,3.0,1,2001-04-09 20:36:49
58,4,Musical,4.0,16,2001-12-05 16:24:25
59,4,Mystery,3.4782608695652173,23,2001-12-05 16:23:44
60,4,Romance,3.3793103448275863,58,2001-12-05 17:49:02
61,4,Sci-Fi,2.8333333333333335,12,2001-04-10 20:56:40
62,4,Thriller,3.5526315789473686,38,2001-12-05 16:24:25
63,4,War,3.5714285714285716,7,2001-12-05 16:24:25
64,4,Western,3.8,10,2001-04-09 20:43:57
65,5,Action,3.111111111111111,9,1996-11-08 06:42:17
66,5,Adventure,3.25,8,1996-11-08 06:36:02
67,5,Animation,4.333333333333333,6,1996-11-08 06:41:32
68,5,Children,4.111111111111111,9,1996-11-08 06:41:32
69,5,Comedy,3.466666666666667,15,1996-11-08 06:41:32
70,5,Crime,3.8333333333333335,12,1996-11-08 06:42:17
71,5,Drama,3.8,25,1996-11-08 06:42:17
72,5,Fantasy,4.142857142857143,7,1996-11-08 06:41:32
73,5,Horror,3.0,1,1996-11-08 06:41:32
74,5,IMAX,3.6666666666666665,3,1996-11-08 06:34:42
75,5,Musical,4.4,5,1996-11-08 06:41:32
76,5,Mystery,4.0,1,1996-11-08 06:34:41
77,5,Romance,3.090909090909091,11,1996-11-08 06:41:51
78,5,Sci-Fi,2.5,2,1996-11-08 06:40:58
79,5,Thriller,3.5555555555555554,9,1996-11-08 06:42:17
80,5,War,3.3333333333333335,3,1996-11-08 06:41:51
81,5,Western,3.0,2,1996-11-08 06:41:51
82,6,Action,3.609375,64,1996-10-17 12:55:15
83,6,Adventure,3.893617021276596,47,1996-10-17 12:55:15
84,6,Animation,4.071428571428571,14,1996-10-17 12:49:39
85,6,Children,3.617021276595745,47,1996-10-17 12:49:39
86,6,Comedy,3.37007874015748,127,1996-10-17 12:49:39
87,6,Crime,3.2857142857142856,35,1996-10-17 12:46:52
88,6,Drama,3.6142857142857143,140,1996-10-17 12:53:28
89,6,Fantasy,3.5384615384615383,26,1996-10-17 12:49:39
90,6,Film-Noir,2.5,2,1996-10-17 12:46:52
91,6,Horror,3.263157894736842,19,1996-10-17 12:47:42
92,6,IMAX,4.666666666666667,3,1996-10-17 11:55:17
93,6,Musical,4.166666666666667,12,1996-10-17 12:49:39
94,6,Mystery,3.7333333333333334,15,1996-10-17 12:47:42
95,6,Romance,3.6142857142857143,70,1996-10-17 12:49:39
96,6,Sci-Fi,3.4761904761904763,21,1996-10-17 12:55:15
97,6,Thriller,3.5441176470588234,68,1996-10-17 12:55:15
98,6,War,3.5833333333333335,12,1996-10-17 12:53:28
99,6,Western,3.8181818181818183,11,1996-10-17 12:45:10
100,7,Action,3.2578125,64,2007-03-19 00:22:55
101,7,Adventure,3.314814814814815,54,2006-12-11 22:32:47
