userId,movieId,rating,date
1,1,4.0,2000-07-30 18:45:03
1,3,4.0,2000-07-30 18:20:47
1,6,4.0,2000-07-30 18:37:04
1,47,5.0,2000-07-30 19:03:35
1,50,5.0,2000-07-30 18:48:51
1,70,3.0,2000-07-30 18:40:00
1,110,4.0,2000-07-30 18:36:16
1,163,5.0,2000-07-30 19:00:50
1,223,3.0,2000-07-30 18:16:25
1,231,5.0,2000-07-30 18:19:39
1,235,4.0,2000-07-30 18:15:08
1,260,5.0,2000-07-30 18:28:00
1,296,3.0,2000-07-30 18:49:27
1,316,3.0,2000-07-30 18:38:30
1,333,5.0,2000-07-30 18:19:39
1,349,4.0,2000-07-30 18:42:43
1,356,4.0,2000-07-30 18:16:02
1,367,4.0,2000-07-30 18:28:30
1,457,5.0,2000-07-30 18:31:49
1,480,4.0,2000-07-30 18:39:06
1,500,3.0,2000-07-30 18:20:08
1,527,5.0,2000-07-30 19:06:42
1,552,4.0,2000-07-30 18:44:13
1,553,5.0,2000-07-30 19:09:13
1,590,4.0,2000-07-30 18:42:26
1,592,4.0,2000-07-30 18:37:51
1,593,4.0,2000-07-30 19:03:13
1,596,5.0,2000-07-30 18:47:18
1,608,5.0,2000-07-30 18:48:51
1,648,3.0,2000-07-30 18:42:43
1,673,3.0,2000-07-30 18:29:35
1,733,4.0,2000-07-30 18:40:00
1,736,3.0,2000-07-30 18:44:13
1,780,3.0,2000-07-30 19:08:06
1,919,5.0,2000-07-30 18:41:15
1,923,5.0,2000-07-30 18:25:29
1,1073,5.0,2000-07-30 18:28:00
1,1080,5.0,2000-07-30 18:22:07
1,1089,5.0,2000-07-30 18:49:11
1,1090,4.0,2000-07-30 19:06:58
1,1097,5.0,2000-07-30 18:28:00
1,1127,4.0,2000-07-30 18:41:53
1,1136,5.0,2000-07-30 18:22:07
1,1196,5.0,2000-07-30 18:30:27
1,1197,5.0,2000-07-30 18:31:12
1,1198,5.0,2000-07-30 18:30:27
1,1206,5.0,2000-07-30 19:02:17
1,1208,4.0,2000-07-30 18:54:10
1,1210,5.0,2000-07-30 18:08:19
1,1213,5.0,2000-07-30 18:49:11
1,1214,4.0,2000-07-30 18:30:55
1,1219,2.0,2000-07-30 18:56:33
1,1220,5.0,2000-07-30 18:31:49
1,1222,5.0,2000-07-30 18:31:49
1,1240,5.0,2000-07-30 19:02:03
1,1258,3.0,2000-07-30 18:56:54
1,1265,4.0,2000-07-30 18:59:59
1,1270,5.0,2000-07-30 19:01:45
